course_id,title,description,skills_covered,difficulty_level,duration_hours,prerequisites,industry_relevance
C001,Course 1,"This is course 1 covering Deep Learning, Product Management, Python","['Deep Learning', 'Product Management', 'Python']",1.1698625215412477,8,['Problem Solving'],"{'Tech': 0.609406036291234, 'Finance': 0.8772751134989908, 'Healthcare': 0.34679368661926957, 'Manufacturing': 0.14534370062569435}"
C002,Course 2,"This is course 2 covering Deep Learning, Cloud Computing","['Deep Learning', 'Cloud Computing']",4.6000871530539005,24,['Communication'],"{'Tech': 0.3907575621343904, 'Finance': 0.28684451425371854, 'Healthcare': 0.33210375711337314, 'Manufacturing': 0.8064296238523733}"
C003,Course 3,"This is course 3 covering Web Development, Cloud Computing, Communication, Problem Solving","['Web Development', 'Cloud Computing', 'Communication', 'Problem Solving']",2.5898710523714534,40,['Data Analysis'],"{'Tech': 0.4388179956087753, 'Finance': 0.5572051288037552, 'Healthcare': 0.15521427635882623, 'Manufacturing': 0.38261424980655145}"
C004,Course 4,"This is course 4 covering DevOps, Python","['DevOps', 'Python']",2.5114111322924724,22,"['Mobile Development', 'SQL']","{'Tech': 0.4510373193174796, 'Finance': 0.23115137161404864, 'Healthcare': 0.7590078133935347, 'Manufacturing': 0.5784894393136397}"
C005,Course 5,"This is course 5 covering DevOps, Product Management, Cloud Computing","['DevOps', 'Product Management', 'Cloud Computing']",2.2653813364896465,34,[],"{'Tech': 0.7575350654348654, 'Finance': 0.9713835784473169, 'Healthcare': 0.6927948317043667, 'Manufacturing': 0.5955419452581135}"
C006,Course 6,"This is course 6 covering DevOps, Machine Learning, Python, Cloud Computing, Problem Solving","['DevOps', 'Machine Learning', 'Python', 'Cloud Computing', 'Problem Solving']",4.654665616938366,18,['Deep Learning'],"{'Tech': 0.7360854402542583, 'Finance': 0.1195122518517344, 'Healthcare': 0.8401188015276871, 'Manufacturing': 0.6428117376733472}"
C007,Course 7,"This is course 7 covering DevOps, Communication, Machine Learning, Data Analysis","['DevOps', 'Communication', 'Machine Learning', 'Data Analysis']",4.6765917756463296,6,['Python'],"{'Tech': 0.9463107783721288, 'Finance': 0.15940948340823877, 'Healthcare': 0.901076758957698, 'Manufacturing': 0.8958292308539393}"
C008,Course 8,"This is course 8 covering Product Management, SQL, Data Analysis, Problem Solving","['Product Management', 'SQL', 'Data Analysis', 'Problem Solving']",1.7756164808321886,11,[],"{'Tech': 0.6648227109263223, 'Finance': 0.13536481634104514, 'Healthcare': 0.3506761395336626, 'Manufacturing': 0.8308672924988961}"
C009,Course 9,"This is course 9 covering Machine Learning, DevOps, Problem Solving, Python","['Machine Learning', 'DevOps', 'Problem Solving', 'Python']",4.7054295041817475,28,['Leadership'],"{'Tech': 0.5895865332927381, 'Finance': 0.12556267122998618, 'Healthcare': 0.9154352564327195, 'Manufacturing': 0.4087331602107437}"
C010,Course 10,"This is course 10 covering Cloud Computing, Machine Learning, Web Development, SQL, Communication","['Cloud Computing', 'Machine Learning', 'Web Development', 'SQL', 'Communication']",2.535711177360448,13,"['Problem Solving', 'Data Analysis']","{'Tech': 0.43574361991195454, 'Finance': 0.4948507721963805, 'Healthcare': 0.7740817831773483, 'Manufacturing': 0.8587111385006523}"
C011,Course 11,"This is course 11 covering Mobile Development, Web Development, UX Design","['Mobile Development', 'Web Development', 'UX Design']",1.2094078636165744,33,['Product Management'],"{'Tech': 0.5319146145593728, 'Finance': 0.19371029268310785, 'Healthcare': 0.4989113913014681, 'Manufacturing': 0.6712213740868798}"
C012,Course 12,"This is course 12 covering Machine Learning, UX Design, Mobile Development, Cloud Computing, Problem Solving","['Machine Learning', 'UX Design', 'Mobile Development', 'Cloud Computing', 'Problem Solving']",1.6798099070558457,12,['Data Analysis'],"{'Tech': 0.3349269006993356, 'Finance': 0.651010268821783, 'Healthcare': 0.279048678085135, 'Manufacturing': 0.9790646622152093}"
C013,Course 13,"This is course 13 covering Python, Data Analysis, Machine Learning","['Python', 'Data Analysis', 'Machine Learning']",3.397853827564775,36,"['UX Design', 'Problem Solving', 'Product Management']","{'Tech': 0.3522944518907003, 'Finance': 0.6567991952857355, 'Healthcare': 0.2149160772585673, 'Manufacturing': 0.3356932347137225}"
C014,Course 14,"This is course 14 covering Product Management, Python, Data Analysis, Cloud Computing, Mobile Development","['Product Management', 'Python', 'Data Analysis', 'Cloud Computing', 'Mobile Development']",3.6155634170803066,29,[],"{'Tech': 0.8367579916045759, 'Finance': 0.40990849480002856, 'Healthcare': 0.6060318545714654, 'Manufacturing': 0.6682427493635376}"
C015,Course 15,"This is course 15 covering Leadership, Cloud Computing","['Leadership', 'Cloud Computing']",3.447541537693714,29,['Deep Learning'],"{'Tech': 0.8620438376239468, 'Finance': 0.982079024896422, 'Healthcare': 0.9027977369689703, 'Manufacturing': 0.5370087565095361}"
C016,Course 16,"This is course 16 covering DevOps, Data Analysis","['DevOps', 'Data Analysis']",2.7151966048008718,32,['Cloud Computing'],"{'Tech': 0.6529642775123634, 'Finance': 0.19739661625193078, 'Healthcare': 0.40796726638650116, 'Manufacturing': 0.420508968241185}"
C017,Course 17,"This is course 17 covering DevOps, Machine Learning, Deep Learning, Web Development","['DevOps', 'Machine Learning', 'Deep Learning', 'Web Development']",4.191991453992633,5,[],"{'Tech': 0.4541934116905947, 'Finance': 0.5596107798589365, 'Healthcare': 0.4274906656173717, 'Manufacturing': 0.7778460203512094}"
C018,Course 18,"This is course 18 covering SQL, Machine Learning, Mobile Development","['SQL', 'Machine Learning', 'Mobile Development']",2.991075355055718,34,[],"{'Tech': 0.5378370972814585, 'Finance': 0.5237869880495143, 'Healthcare': 0.45116629871242553, 'Manufacturing': 0.20711175257998082}"
C019,Course 19,"This is course 19 covering Problem Solving, Web Development, Leadership","['Problem Solving', 'Web Development', 'Leadership']",4.550380996830148,7,['Cloud Computing'],"{'Tech': 0.6226881372514125, 'Finance': 0.18039910765600453, 'Healthcare': 0.6260302969725721, 'Manufacturing': 0.4064194258746511}"
C020,Course 20,"This is course 20 covering Data Analysis, Leadership, UX Design","['Data Analysis', 'Leadership', 'UX Design']",4.852722611328208,16,[],"{'Tech': 0.6224996443262197, 'Finance': 0.9296998754353921, 'Healthcare': 0.17848601206259374, 'Manufacturing': 0.126078389922476}"
C021,Course 21,"This is course 21 covering Machine Learning, Deep Learning","['Machine Learning', 'Deep Learning']",2.5593077296495745,36,[],"{'Tech': 0.24386822265583874, 'Finance': 0.3214683893735769, 'Healthcare': 0.37608355735885757, 'Manufacturing': 0.6514709166979675}"
C022,Course 22,"This is course 22 covering Machine Learning, Python, Deep Learning, Leadership","['Machine Learning', 'Python', 'Deep Learning', 'Leadership']",2.0749539571447655,33,"['Data Analysis', 'DevOps']","{'Tech': 0.1898191355167759, 'Finance': 0.7452811996193857, 'Healthcare': 0.1993100297413692, 'Manufacturing': 0.8756314834348135}"
C023,Course 23,"This is course 23 covering Problem Solving, Communication","['Problem Solving', 'Communication']",3.1572985435943353,26,[],"{'Tech': 0.1239509524342497, 'Finance': 0.5866106487631062, 'Healthcare': 0.5186056394526297, 'Manufacturing': 0.6969047237845649}"
C024,Course 24,"This is course 24 covering Web Development, Deep Learning, Data Analysis","['Web Development', 'Deep Learning', 'Data Analysis']",2.7821763586499766,36,['Python'],"{'Tech': 0.509062983417105, 'Finance': 0.19227730424031986, 'Healthcare': 0.4147099461892444, 'Manufacturing': 0.9908428774733549}"
C025,Course 25,"This is course 25 covering Leadership, Communication, Web Development, Problem Solving, UX Design","['Leadership', 'Communication', 'Web Development', 'Problem Solving', 'UX Design']",4.418213209371121,19,[],"{'Tech': 0.17919118957823205, 'Finance': 0.8327599482764034, 'Healthcare': 0.5105728601591368, 'Manufacturing': 0.8635353422877716}"
C026,Course 26,"This is course 26 covering Mobile Development, Data Analysis, Machine Learning, DevOps, Leadership","['Mobile Development', 'Data Analysis', 'Machine Learning', 'DevOps', 'Leadership']",1.6213443151054632,10,[],"{'Tech': 0.4951511247338427, 'Finance': 0.764891798739774, 'Healthcare': 0.8447080132401924, 'Manufacturing': 0.9326897875569763}"
C027,Course 27,"This is course 27 covering Problem Solving, UX Design","['Problem Solving', 'UX Design']",4.874351506764027,32,['Leadership'],"{'Tech': 0.36637592945554887, 'Finance': 0.8167862381751949, 'Healthcare': 0.4639387760512209, 'Manufacturing': 0.2976280652690611}"
C028,Course 28,"This is course 28 covering Machine Learning, Deep Learning, Communication, Data Analysis","['Machine Learning', 'Deep Learning', 'Communication', 'Data Analysis']",4.162286943163326,26,['Leadership'],"{'Tech': 0.17362218467011592, 'Finance': 0.7944430022056083, 'Healthcare': 0.48891173813307576, 'Manufacturing': 0.4587707282328617}"
C029,Course 29,"This is course 29 covering UX Design, Web Development, Product Management, SQL","['UX Design', 'Web Development', 'Product Management', 'SQL']",2.079813846778119,18,['Deep Learning'],"{'Tech': 0.6805978347837682, 'Finance': 0.9017825609558844, 'Healthcare': 0.7812108449391355, 'Manufacturing': 0.3948228698925782}"
C030,Course 30,"This is course 30 covering Product Management, Communication, Data Analysis","['Product Management', 'Communication', 'Data Analysis']",2.022533666856977,36,"['UX Design', 'Web Development', 'SQL']","{'Tech': 0.28776352136346967, 'Finance': 0.5696472453023462, 'Healthcare': 0.787667170832677, 'Manufacturing': 0.40167746326473597}"
C031,Course 31,"This is course 31 covering Python, DevOps, Leadership","['Python', 'DevOps', 'Leadership']",1.7540363287493386,31,"['SQL', 'Product Management']","{'Tech': 0.3538117617290416, 'Finance': 0.127520905917063, 'Healthcare': 0.6351209329580996, 'Manufacturing': 0.7402445442328894}"
C032,Course 32,"This is course 32 covering SQL, Leadership, UX Design","['SQL', 'Leadership', 'UX Design']",3.026720713198592,28,"['Communication', 'Mobile Development']","{'Tech': 0.7039844423545002, 'Finance': 0.5982128689683074, 'Healthcare': 0.5179221507263932, 'Manufacturing': 0.6464365733998894}"
C033,Course 33,"This is course 33 covering Mobile Development, DevOps","['Mobile Development', 'DevOps']",1.8426781326714678,33,['Python'],"{'Tech': 0.8548913235958757, 'Finance': 0.12961533009417417, 'Healthcare': 0.7974068542375801, 'Manufacturing': 0.37003619592343495}"
C034,Course 34,"This is course 34 covering SQL, Problem Solving","['SQL', 'Problem Solving']",1.6453322824492238,40,"['Communication', 'Cloud Computing', 'Leadership']","{'Tech': 0.31267391849456916, 'Finance': 0.37695474735378276, 'Healthcare': 0.3195411107917607, 'Manufacturing': 0.6054284969221005}"
C035,Course 35,"This is course 35 covering Web Development, Cloud Computing","['Web Development', 'Cloud Computing']",2.651849615661719,7,"['Communication', 'DevOps']","{'Tech': 0.36463329315316195, 'Finance': 0.5765153453615292, 'Healthcare': 0.11201686887581469, 'Manufacturing': 0.25356288828338225}"
C036,Course 36,"This is course 36 covering SQL, Deep Learning, Web Development, Leadership, UX Design","['SQL', 'Deep Learning', 'Web Development', 'Leadership', 'UX Design']",1.8125700644010139,10,"['Data Analysis', 'Communication']","{'Tech': 0.5632400257067794, 'Finance': 0.7767196613105011, 'Healthcare': 0.6984673680510171, 'Manufacturing': 0.13614882704541326}"
C037,Course 37,"This is course 37 covering SQL, Communication, Web Development","['SQL', 'Communication', 'Web Development']",4.9012943793834225,27,['Python'],"{'Tech': 0.3025544255872288, 'Finance': 0.5791704331754763, 'Healthcare': 0.9611177916173426, 'Manufacturing': 0.1546161863002855}"
C038,Course 38,"This is course 38 covering Communication, Python, Web Development, Deep Learning","['Communication', 'Python', 'Web Development', 'Deep Learning']",1.396027375129178,24,[],"{'Tech': 0.6353353553254069, 'Finance': 0.6816696229327975, 'Healthcare': 0.7929314044286293, 'Manufacturing': 0.27882837326390175}"
C039,Course 39,"This is course 39 covering UX Design, Mobile Development, Machine Learning, DevOps, Problem Solving","['UX Design', 'Mobile Development', 'Machine Learning', 'DevOps', 'Problem Solving']",2.4877506036076045,37,"['Python', 'Web Development']","{'Tech': 0.7886399568277231, 'Finance': 0.12846847793368757, 'Healthcare': 0.269096711465705, 'Manufacturing': 0.30088986655200267}"
C040,Course 40,"This is course 40 covering Product Management, Web Development, SQL, Python, Communication","['Product Management', 'Web Development', 'SQL', 'Python', 'Communication']",3.2238121425188986,32,"['UX Design', 'Mobile Development']","{'Tech': 0.8271401236142453, 'Finance': 0.16402214054159872, 'Healthcare': 0.17587372839937776, 'Manufacturing': 0.2703163508009404}"
C041,Course 41,"This is course 41 covering SQL, DevOps, UX Design, Deep Learning","['SQL', 'DevOps', 'UX Design', 'Deep Learning']",4.1180158165492315,38,['Python'],"{'Tech': 0.11101963867460465, 'Finance': 0.9488338161998234, 'Healthcare': 0.9896217726655883, 'Manufacturing': 0.7984936993468726}"
C042,Course 42,"This is course 42 covering Problem Solving, Data Analysis, Mobile Development, UX Design, Python","['Problem Solving', 'Data Analysis', 'Mobile Development', 'UX Design', 'Python']",2.761530151771337,15,"['Deep Learning', 'SQL']","{'Tech': 0.9926308259389466, 'Finance': 0.6384932328686331, 'Healthcare': 0.2843728193473988, 'Manufacturing': 0.3837731254839475}"
C043,Course 43,"This is course 43 covering SQL, Communication, Data Analysis, Machine Learning","['SQL', 'Communication', 'Data Analysis', 'Machine Learning']",1.685930736200953,21,"['Product Management', 'Cloud Computing']","{'Tech': 0.3168343944201541, 'Finance': 0.4450543703304295, 'Healthcare': 0.21501753271922486, 'Manufacturing': 0.17279400701089564}"
C044,Course 44,"This is course 44 covering Leadership, Machine Learning, UX Design, Deep Learning, Product Management","['Leadership', 'Machine Learning', 'UX Design', 'Deep Learning', 'Product Management']",1.5834310404876746,27,[],"{'Tech': 0.6656955435462764, 'Finance': 0.9284213732656382, 'Healthcare': 0.9320166316070051, 'Manufacturing': 0.5011201985545024}"
C045,Course 45,"This is course 45 covering Deep Learning, Product Management, UX Design","['Deep Learning', 'Product Management', 'UX Design']",4.234385768127684,16,"['Mobile Development', 'DevOps']","{'Tech': 0.5779171870201821, 'Finance': 0.44624681648752107, 'Healthcare': 0.21565853485214928, 'Manufacturing': 0.7929374607464893}"
C046,Course 46,"This is course 46 covering UX Design, Product Management, Communication, Mobile Development","['UX Design', 'Product Management', 'Communication', 'Mobile Development']",4.369976553518362,28,['Web Development'],"{'Tech': 0.3902779990536698, 'Finance': 0.723677307591102, 'Healthcare': 0.28376230889207177, 'Manufacturing': 0.4619799382103149}"
C047,Course 47,"This is course 47 covering Product Management, SQL, Problem Solving","['Product Management', 'SQL', 'Problem Solving']",3.739288900840789,20,[],"{'Tech': 0.5034214968993471, 'Finance': 0.5072418305909677, 'Healthcare': 0.8097844390013088, 'Manufacturing': 0.7743361954709952}"
C048,Course 48,"This is course 48 covering UX Design, Communication, Mobile Development","['UX Design', 'Communication', 'Mobile Development']",1.706748813906807,10,[],"{'Tech': 0.7888355533952823, 'Finance': 0.5512159155079157, 'Healthcare': 0.3822597676858628, 'Manufacturing': 0.5102316541890538}"
C049,Course 49,"This is course 49 covering Python, Leadership, Cloud Computing, Machine Learning","['Python', 'Leadership', 'Cloud Computing', 'Machine Learning']",4.353964137186038,32,[],"{'Tech': 0.5424641109550863, 'Finance': 0.12035649060344254, 'Healthcare': 0.47336472100752247, 'Manufacturing': 0.8628873619537952}"
C050,Course 50,"This is course 50 covering Leadership, SQL, UX Design","['Leadership', 'SQL', 'UX Design']",4.189860718916522,9,"['Product Management', 'Communication']","{'Tech': 0.925929987123835, 'Finance': 0.791647549985217, 'Healthcare': 0.2772653549478783, 'Manufacturing': 0.9130471396319019}"
